epoch,categorical_accuracy,learning_rate,loss,top_k_categorical_accuracy,val_categorical_accuracy,val_loss,val_top_k_categorical_accuracy,val_weighted_categorical_accuracy,weighted_categorical_accuracy
0,0.35957273840904236,9.999999747378752e-05,0.6052045226097107,0.5013708472251892,0.291444331407547,0.4900517463684082,0.8139305114746094,0.291444331407547,0.23464812338352203
1,0.4803335964679718,9.999999747378752e-05,0.5629515051841736,0.5781294703483582,0.47271379828453064,0.4587155878543854,0.8657011389732361,0.47271379828453064,0.2764512896537781
2,0.45126572251319885,9.999999747378752e-05,0.5785696506500244,0.5702419877052307,0.467027872800827,0.37565022706985474,0.8713665008544922,0.467027872800827,0.27942508459091187
3,0.5386917591094971,9.999999747378752e-05,0.48955076932907104,0.6414725184440613,0.4509177803993225,0.31383365392684937,0.8772789835929871,0.4509177803993225,0.35546624660491943
4,0.552471399307251,9.999999747378752e-05,0.4746019244194031,0.6462892293930054,0.6828866600990295,0.30387169122695923,0.8825322985649109,0.6828866600990295,0.3605831265449524
5,0.6340490579605103,9.999999747378752e-05,0.45104488730430603,0.6742153763771057,0.762839674949646,0.27446845173835754,0.889413058757782,0.762839674949646,0.38780802488327026
6,0.6473959684371948,9.999999747378752e-05,0.45029428601264954,0.6529784798622131,0.7736552357673645,0.2631669342517853,0.8902370929718018,0.7736552357673645,0.3963867425918579
7,0.5800994038581848,9.999999747378752e-05,0.44664284586906433,0.6600975394248962,0.4983828067779541,0.3166583478450775,0.8238190412521362,0.4983828067779541,0.3937584161758423
8,0.547686755657196,9.999999747378752e-05,0.43510890007019043,0.6745122671127319,0.5009167790412903,0.294393926858902,0.903236448764801,0.5009167790412903,0.4000089764595032
9,0.5716180801391602,9.999999747378752e-05,0.40738970041275024,0.7139509320259094,0.5065202713012695,0.2769233286380768,0.9080159068107605,0.5065202713012695,0.4335087537765503
10,0.5855594873428345,9.999999747378752e-06,0.38306090235710144,0.7427989840507507,0.5170474648475647,0.2743851840496063,0.9098905920982361,0.5170474648475647,0.4607744514942169
11,0.5897617340087891,9.999999747378752e-06,0.3781850337982178,0.7519945502281189,0.5175006985664368,0.27686724066734314,0.9091077446937561,0.5175006985664368,0.46970438957214355
12,0.5918972492218018,9.999999747378752e-06,0.3753821849822998,0.7541203498840332,0.5175212621688843,0.2746618986129761,0.9095404148101807,0.5175212621688843,0.47714605927467346
13,0.593389630317688,9.999999974752427e-07,0.37219110131263733,0.7608214020729065,0.5178508758544922,0.2735355496406555,0.9093343615531921,0.5178508758544922,0.484985888004303
