epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8666502237319946,9.999999747378752e-05,0.10472150146961212,0.9176974892616272,0.04214254394173622
1,0.9210206270217896,9.999999747378752e-05,0.038560640066862106,0.9273229837417603,0.032732583582401276
2,0.9272018671035767,9.999999747378752e-05,0.03243742883205414,0.9324734807014465,0.02835226058959961
3,0.9331122636795044,9.999999747378752e-05,0.027805177494883537,0.9341199994087219,0.026695987209677696
4,0.933650553226471,9.999999747378752e-05,0.026960007846355438,0.9313019514083862,0.02720573917031288
5,0.9348308444023132,9.999999747378752e-05,0.025664646178483963,0.935882568359375,0.024605220183730125
6,0.9360023736953735,9.999999747378752e-05,0.02461540885269642,0.9341516494750977,0.025258485227823257
7,0.936837911605835,9.999999747378752e-05,0.02383054979145527,0.9378350973129272,0.02342839352786541
8,0.9364544749259949,9.999999747378752e-05,0.02428855374455452,0.9372335076332092,0.02364623174071312
9,0.9357702136039734,9.999999747378752e-05,0.024248255416750908,0.9366002678871155,0.02411222644150257
10,0.9397509098052979,4.999999873689376e-05,0.021665634587407112,0.939682126045227,0.021764211356639862
11,0.9409699440002441,4.999999873689376e-05,0.02081848867237568,0.9397559762001038,0.021564435213804245
12,0.9413094520568848,4.999999873689376e-05,0.020571047440171242,0.9403048157691956,0.021113118156790733
13,0.9416120052337646,4.999999873689376e-05,0.020308049395680428,0.9347637891769409,0.02489294670522213
14,0.9416067004203796,4.999999873689376e-05,0.020334701985120773,0.9405897855758667,0.021082689985632896
15,0.9417632818222046,4.999999873689376e-05,0.020271949470043182,0.9397559762001038,0.021280545741319656
16,0.9429488778114319,2.499999936844688e-05,0.019457517191767693,0.9420146346092224,0.02023412100970745
17,0.9431001543998718,2.499999936844688e-05,0.019352413713932037,0.9419934749603271,0.020171651616692543
18,0.9432601928710938,2.499999936844688e-05,0.019272662699222565,0.9420357346534729,0.0200971569865942
19,0.9432654976844788,2.499999936844688e-05,0.019211208447813988,0.9416030049324036,0.020321791991591454
20,0.9434238076210022,2.499999936844688e-05,0.019097154960036278,0.9421201348304749,0.020038291811943054
21,0.943337619304657,2.499999936844688e-05,0.019112329930067062,0.9420040249824524,0.019991986453533173
22,0.9434167742729187,2.499999936844688e-05,0.0189942829310894,0.941761314868927,0.02000054158270359
23,0.9437017440795898,2.499999936844688e-05,0.018919479101896286,0.9421623945236206,0.01981598325073719
24,0.9437298774719238,2.499999936844688e-05,0.018841784447431564,0.9422573447227478,0.019838042557239532
25,0.9435451626777649,2.499999936844688e-05,0.018921509385108948,0.9425317645072937,0.019937416538596153
26,0.9436876773834229,2.499999936844688e-05,0.01879139617085457,0.9424367547035217,0.01970716565847397
27,0.9440113306045532,1.249999968422344e-05,0.0185775775462389,0.9427006244659424,0.019612101837992668
28,0.9440869688987732,1.249999968422344e-05,0.018527932465076447,0.9427217245101929,0.019626464694738388
29,0.9441573023796082,1.249999968422344e-05,0.018457885831594467,0.942542314529419,0.019622299820184708
30,0.9441942572593689,1.249999968422344e-05,0.018430061638355255,0.9426900744438171,0.019611280411481857
31,0.9442417621612549,1.249999968422344e-05,0.018394367769360542,0.9428589344024658,0.019560696557164192
32,0.9444282054901123,6.24999984211172e-06,0.018267154693603516,0.9426373243331909,0.01945699378848076
33,0.9444071054458618,6.24999984211172e-06,0.01825331151485443,0.9428483843803406,0.019473306834697723
34,0.9443613886833191,6.24999984211172e-06,0.018229275941848755,0.9428167343139648,0.019441885873675346
35,0.9445513486862183,3.12499992105586e-06,0.018144188448786736,0.9427639842033386,0.019422266632318497
