epoch,categorical_accuracy,learning_rate,loss,top_3_categorical_accuracy,val_categorical_accuracy,val_loss,val_top_3_categorical_accuracy,val_w_categorical_accuracy,val_w_top_3_categorical_accuracy,w_categorical_accuracy,w_top_3_categorical_accuracy
0,0.49228915572166443,9.999999747378752e-05,3.2178611755371094,0.7195216417312622,0.478523313999176,2.0146055221557617,0.7984384298324585,0.478523313999176,0.7984384298324585,0.181687131524086,0.3274776339530945
1,0.5974665284156799,9.999999747378752e-05,2.2760627269744873,0.8722421526908875,0.4512473940849304,1.8710336685180664,0.8003955483436584,0.4512473940849304,0.8003955483436584,0.36091771721839905,0.5608417987823486
2,0.6761928200721741,9.999999747378752e-05,2.0036470890045166,0.8973180651664734,0.7653530240058899,1.6035469770431519,0.8598504066467285,0.7653530240058899,0.8598504066467285,0.4129720628261566,0.6329355835914612
3,0.8053056001663208,9.999999747378752e-05,1.7372384071350098,0.9167923927307129,0.7990770936012268,1.2214412689208984,0.8648771047592163,0.7990770936012268,0.8648771047592163,0.47251686453819275,0.6980937123298645
4,0.823141872882843,9.999999747378752e-05,1.592528223991394,0.9222039580345154,0.7886322736740112,1.226860523223877,0.9003110527992249,0.7886322736740112,0.9003110527992249,0.5081183314323425,0.7100270390510559
5,0.8465231657028198,9.999999747378752e-05,1.44772207736969,0.930620551109314,0.8321831226348877,1.1671741008758545,0.8948929905891418,0.8321831226348877,0.8948929905891418,0.5491378307342529,0.7498485445976257
6,0.8518376350402832,9.999999747378752e-05,1.3996124267578125,0.935235321521759,0.8071526885032654,1.2390131950378418,0.9141756296157837,0.8071526885032654,0.9141756296157837,0.5681838393211365,0.7701940536499023
7,0.8587173223495483,9.999999747378752e-05,1.358628749847412,0.9238500595092773,0.8005191683769226,1.420462965965271,0.8528872728347778,0.8005191683769226,0.8528872728347778,0.577950119972229,0.7703583836555481
8,0.8584139943122864,9.999999747378752e-05,1.3112062215805054,0.9242261648178101,0.8324509263038635,1.2402887344360352,0.9063472151756287,0.8324509263038635,0.9063472151756287,0.5781529545783997,0.771217405796051
9,0.8979166746139526,4.999999873689376e-05,1.1025797128677368,0.9419937133789062,0.8768051862716675,1.1617194414138794,0.9241877794265747,0.8768051862716675,0.9241877794265747,0.6487486362457275,0.8311327695846558
10,0.9083717465400696,4.999999873689376e-05,1.0281778573989868,0.9467055201530457,0.8590058088302612,1.2447999715805054,0.902783215045929,0.8590058088302612,0.902783215045929,0.6744778156280518,0.8616734147071838
11,0.9141998291015625,4.999999873689376e-05,0.9952696561813354,0.9495205283164978,0.8653303384780884,1.2040122747421265,0.9149172902107239,0.8653303384780884,0.9149172902107239,0.6856216192245483,0.8540746569633484
12,0.9149197936058044,4.999999873689376e-05,0.9700495600700378,0.9486145377159119,0.8820584416389465,1.1743009090423584,0.9145052433013916,0.8820584416389465,0.9145052433013916,0.7078345417976379,0.8557807207107544
13,0.9250674247741699,2.499999936844688e-05,0.87445068359375,0.9547217488288879,0.8849014043807983,1.1269965171813965,0.9147112965583801,0.8849014043807983,0.9147112965583801,0.7310268878936768,0.8865535259246826
14,0.9275791049003601,2.499999936844688e-05,0.8236802220344543,0.954333484172821,0.8986836075782776,1.0982366800308228,0.9187079071998596,0.8986836075782776,0.9187079071998596,0.7282038927078247,0.8871790766716003
15,0.9278864860534668,2.499999936844688e-05,0.7989489436149597,0.9559755325317383,0.8931624889373779,1.1665507555007935,0.9180898666381836,0.8931624889373779,0.9180898666381836,0.7453851699829102,0.8931763768196106
16,0.9292575716972351,2.499999936844688e-05,0.7724214792251587,0.9524204134941101,0.898868978023529,1.1586122512817383,0.9194907546043396,0.898868978023529,0.9194907546043396,0.7562140822410583,0.88993239402771
17,0.930349588394165,2.499999936844688e-05,0.7511612176895142,0.9517490267753601,0.8992810249328613,1.150866150856018,0.9192847013473511,0.8992810249328613,0.9192847013473511,0.7534880638122559,0.8915723562240601
18,0.9314011335372925,1.249999968422344e-05,0.709528386592865,0.9539088010787964,0.8984363675117493,1.1605736017227173,0.9245586395263672,0.8984363675117493,0.9245586395263672,0.7781937122344971,0.8962316513061523
19,0.933674156665802,1.249999968422344e-05,0.6843089461326599,0.956096887588501,0.9009085297584534,1.1762299537658691,0.9249294400215149,0.9009085297584534,0.9249294400215149,0.7879026532173157,0.9091989994049072
20,0.9369300007820129,1.249999968422344e-05,0.6742637157440186,0.9583982229232788,0.9021651744842529,1.1732523441314697,0.9250324368476868,0.9021651744842529,0.9250324368476868,0.7944597601890564,0.9129501581192017
21,0.9358783960342407,6.24999984211172e-06,0.6512413024902344,0.9584589004516602,0.905976414680481,1.1764287948608398,0.9250736236572266,0.905976414680481,0.9250736236572266,0.8110179305076599,0.9157577753067017
22,0.937484085559845,6.24999984211172e-06,0.643002450466156,0.958479106426239,0.9011557102203369,1.1881452798843384,0.9249294400215149,0.9011557102203369,0.9249294400215149,0.8186370730400085,0.9139804244041443
23,0.9359107613563538,6.24999984211172e-06,0.6360190510749817,0.9587056040763855,0.9066150188446045,1.1834380626678467,0.925382673740387,0.9066150188446045,0.925382673740387,0.8158472180366516,0.9185659885406494
24,0.9370755553245544,3.12499992105586e-06,0.6253684163093567,0.9590291380882263,0.9077069163322449,1.1815812587738037,0.9251148700714111,0.9077069163322449,0.9251148700714111,0.8287884593009949,0.9215217232704163
25,0.9373869895935059,3.12499992105586e-06,0.6202189922332764,0.9590250849723816,0.9091489911079407,1.1844812631607056,0.9256298542022705,0.9091489911079407,0.9256298542022705,0.830659806728363,0.9224169254302979
