epoch,categorical_accuracy,learning_rate,loss,top_k_categorical_accuracy,val_categorical_accuracy,val_loss,val_top_k_categorical_accuracy,val_weighted_categorical_accuracy,weighted_categorical_accuracy
0,0.17836269736289978,0.0010000000474974513,0.9518918395042419,0.20666398108005524,0.056467726826667786,0.9678624868392944,0.12113471329212189,0.056467726826667786,0.07404721528291702
1,0.18641531467437744,0.0010000000474974513,0.9299089312553406,0.2107391208410263,0.12715023756027222,0.8950676321983337,0.23773716390132904,0.12715023756027222,0.07378879189491272
2,0.323629230260849,0.0010000000474974513,0.8575090765953064,0.2801138460636139,0.39908531308174133,0.5703800916671753,0.6595043540000916,0.39908531308174133,0.10602044314146042
3,0.3405393064022064,0.0010000000474974513,0.8220198750495911,0.3240291476249695,0.2522403597831726,0.5326922535896301,0.6956387162208557,0.2522403597831726,0.13265185058116913
4,0.3785374164581299,0.0010000000474974513,0.7766630053520203,0.3776869773864746,0.4049978256225586,0.5060640573501587,0.7085556387901306,0.4049978256225586,0.16382278501987457
5,0.36756062507629395,0.0010000000474974513,0.752091646194458,0.39545994997024536,0.40369996428489685,0.5575262308120728,0.6157886981964111,0.40369996428489685,0.1685238629579544
6,0.3677588105201721,0.0010000000474974513,0.7687317728996277,0.3801404535770416,0.2475433200597763,0.5302962064743042,0.6381615400314331,0.2475433200597763,0.15722283720970154
7,0.3662663996219635,0.0010000000474974513,0.7260398268699646,0.40164580941200256,0.23549164831638336,0.5277300477027893,0.6731423139572144,0.23549164831638336,0.1698034554719925
8,0.3747679591178894,0.00010000000474974513,0.6514549255371094,0.4604872465133667,0.29342204332351685,0.49241554737091064,0.687048077583313,0.29342204332351685,0.21133388578891754
9,0.42173275351524353,0.00010000000474974513,0.6267528533935547,0.4842914938926697,0.2479759305715561,0.5414354801177979,0.6645309925079346,0.2479759305715561,0.24332359433174133
10,0.5419637560844421,0.00010000000474974513,0.6130750179290771,0.5111627578735352,0.58468097448349,0.4502653181552887,0.8545147180557251,0.58468097448349,0.264993280172348
11,0.5422953963279724,0.00010000000474974513,0.5808578729629517,0.5843234658241272,0.3927813470363617,0.45713087916374207,0.8746832609176636,0.3927813470363617,0.3062288463115692
12,0.5745503306388855,0.00010000000474974513,0.5714471936225891,0.5989702343940735,0.5890896320343018,0.4257287383079529,0.8568838834762573,0.5890896320343018,0.3046781122684479
13,0.6545102596282959,0.00010000000474974513,0.5360221862792969,0.6402261257171631,0.5158525705337524,0.42800211906433105,0.8754661083221436,0.5158525705337524,0.340013712644577
14,0.6740330457687378,0.00010000000474974513,0.5119239687919617,0.6678757667541504,0.541500985622406,0.3821699917316437,0.8769288063049316,0.541500985622406,0.3511623442173004
15,0.6603869199752808,0.00010000000474974513,0.49266573786735535,0.6949493885040283,0.6342061161994934,0.37061184644699097,0.8978183269500732,0.6342061161994934,0.36653444170951843
16,0.7056367993354797,0.00010000000474974513,0.4767768383026123,0.6922615170478821,0.6030160188674927,0.3924104869365692,0.8609216809272766,0.6030160188674927,0.37583234906196594
17,0.7035134434700012,0.00010000000474974513,0.47309979796409607,0.7213822603225708,0.7166724801063538,0.36289453506469727,0.8868997097015381,0.7166724801063538,0.36348414421081543
18,0.736714780330658,0.00010000000474974513,0.4537779986858368,0.7364281415939331,0.725077748298645,0.34586459398269653,0.8934302926063538,0.725077748298645,0.38622766733169556
19,0.7551254034042358,0.00010000000474974513,0.43650883436203003,0.7512149810791016,0.7263756394386292,0.33975017070770264,0.8935539126396179,0.7263756394386292,0.4028189778327942
20,0.7610182166099548,0.00010000000474974513,0.4260735809803009,0.7573558688163757,0.7540841698646545,0.3420103192329407,0.9006201028823853,0.7540841698646545,0.41170552372932434
21,0.7672063112258911,0.00010000000474974513,0.4125836193561554,0.7839365601539612,0.749242901802063,0.3288421332836151,0.8962732553482056,0.749242901802063,0.4200446605682373
22,0.7688888311386108,0.00010000000474974513,0.41139209270477295,0.7763999700546265,0.7521476745605469,0.32038962841033936,0.9027625918388367,0.7521476745605469,0.42531079053878784
23,0.7692164778709412,0.00010000000474974513,0.39689135551452637,0.7956696152687073,0.6506252288818359,0.3500865399837494,0.8940483331680298,0.6506252288818359,0.4349021911621094
24,0.7512305378913879,0.00010000000474974513,0.396833211183548,0.7921562790870667,0.6460312008857727,0.3154059946537018,0.9065738320350647,0.6460312008857727,0.43760156631469727
25,0.7594449520111084,0.00010000000474974513,0.37805604934692383,0.8058083057403564,0.7058774828910828,0.3004155457019806,0.9094167947769165,0.7058774828910828,0.45782050490379333
26,0.7633195519447327,0.00010000000474974513,0.3675236999988556,0.8093584775924683,0.732411801815033,0.29962408542633057,0.9082219004631042,0.732411801815033,0.4629805386066437
27,0.7628746628761292,0.00010000000474974513,0.36429306864738464,0.826578676700592,0.6609258055686951,0.3001512587070465,0.9124245643615723,0.6609258055686951,0.4613458812236786
28,0.7669312953948975,0.00010000000474974513,0.35348910093307495,0.8329437971115112,0.6311365365982056,0.29882004857063293,0.9143404364585876,0.6311365365982056,0.4703335762023926
29,0.7626967430114746,0.00010000000474974513,0.3661174774169922,0.814699649810791,0.7793205976486206,0.2900494933128357,0.9044930934906006,0.7793205976486206,0.4653235375881195
30,0.7795825004577637,0.00010000000474974513,0.34054383635520935,0.846899688243866,0.6655198931694031,0.2847166657447815,0.9067592620849609,0.6655198931694031,0.48190921545028687
31,0.772257924079895,0.00010000000474974513,0.3323083519935608,0.8562281727790833,0.7782287001609802,0.27978187799453735,0.9072536826133728,0.7782287001609802,0.4832789897918701
