epoch,categorical_accuracy,learning_rate,loss,top_3_categorical_accuracy,val_categorical_accuracy,val_loss,val_top_3_categorical_accuracy,val_w_categorical_accuracy,val_w_top_3_categorical_accuracy,w_categorical_accuracy,w_top_3_categorical_accuracy
0,0.2671193778514862,9.999999747378752e-05,3.2771332263946533,0.5469991564750671,0.18549267947673798,2.686462640762329,0.75948166847229,0.18549267947673798,0.75948166847229,0.1689351201057434,0.30929893255233765
1,0.45384612679481506,9.999999747378752e-05,2.48067569732666,0.7710283994674683,0.4879380464553833,2.2385525703430176,0.6590923070907593,0.4879380464553833,0.6590923070907593,0.30651092529296875,0.5183690786361694
2,0.46619805693626404,9.999999747378752e-05,2.0409152507781982,0.7905673980712891,0.3313899636268616,1.9102622270584106,0.8794833421707153,0.3313899636268616,0.8794833421707153,0.4016841948032379,0.6261667013168335
3,0.5295147895812988,9.999999747378752e-05,1.720319151878357,0.8439912796020508,0.6871510744094849,1.8011372089385986,0.8697801828384399,0.6871510744094849,0.8697801828384399,0.4843737781047821,0.7043014168739319
4,0.625207781791687,9.999999747378752e-05,1.5456260442733765,0.8642704486846924,0.6095259785652161,1.7910916805267334,0.7809686660766602,0.6095259785652161,0.7809686660766602,0.5212880373001099,0.7678298950195312
5,0.6212360858917236,9.999999747378752e-05,1.4626014232635498,0.8862887024879456,0.5379782319068909,1.7063795328140259,0.8577491044998169,0.5379782319068909,0.8577491044998169,0.5503095984458923,0.7804623246192932
6,0.6186961531639099,9.999999747378752e-05,1.368911862373352,0.890256404876709,0.4959312677383423,1.7585885524749756,0.9027420282363892,0.4959312677383423,0.9027420282363892,0.5723382234573364,0.8020507097244263
7,0.6093249917030334,9.999999747378752e-05,1.2793954610824585,0.9039510488510132,0.5659133791923523,2.005239963531494,0.8777116537094116,0.5659133791923523,0.8777116537094116,0.5985205173492432,0.8095041513442993
8,0.5974220037460327,9.999999747378752e-05,1.2630671262741089,0.894470751285553,0.42425990104675293,2.0734448432922363,0.7911868095397949,0.42425990104675293,0.7911868095397949,0.6021413803100586,0.8195852041244507
9,0.7009007334709167,4.999999873689376e-05,0.9525057673454285,0.9306488633155823,0.7268494963645935,1.6284761428833008,0.9165859818458557,0.7268494963645935,0.9165859818458557,0.6923956274986267,0.8744787573814392
10,0.6638651490211487,4.999999873689376e-05,0.814412534236908,0.9491443634033203,0.4743412733078003,1.6167150735855103,0.9110854864120483,0.4743412733078003,0.9110854864120483,0.7405437231063843,0.8930573463439941
11,0.6808965802192688,4.999999873689376e-05,0.8020280003547668,0.9448329210281372,0.7843472361564636,1.5094670057296753,0.9296059012413025,0.7843472361564636,0.9296059012413025,0.7482708096504211,0.8964849710464478
12,0.6469308137893677,4.999999873689376e-05,0.770334005355835,0.9452090859413147,0.4865577518939972,1.6002267599105835,0.9128983616828918,0.4865577518939972,0.9128983616828918,0.7458751201629639,0.8984919190406799
13,0.6664940714836121,4.999999873689376e-05,0.728203535079956,0.9412009716033936,0.4291011691093445,1.8184223175048828,0.9010939002037048,0.4291011691093445,0.9010939002037048,0.7453354597091675,0.9065410494804382
14,0.6923425197601318,4.999999873689376e-05,0.7444292902946472,0.9443637728691101,0.6709379553794861,1.535948634147644,0.9136606454849243,0.6709379553794861,0.9136606454849243,0.735193133354187,0.8949900269508362
15,0.7746118307113647,2.499999936844688e-05,0.6283438205718994,0.9494557976722717,0.6802290678024292,1.540306806564331,0.9317483901977539,0.6802290678024292,0.9317483901977539,0.7819381952285767,0.9223971366882324
16,0.6883991360664368,2.499999936844688e-05,0.6130765080451965,0.9543496370315552,0.6793432235717773,1.587286114692688,0.9165035486221313,0.6793432235717773,0.9165035486221313,0.7852845191955566,0.9160006046295166
17,0.7536815404891968,2.499999936844688e-05,0.5676174163818359,0.9564366340637207,0.5492676496505737,1.5479668378829956,0.9157001376152039,0.5492676496505737,0.9157001376152039,0.8013848662376404,0.9280527830123901
18,0.739614725112915,1.249999968422344e-05,0.540721595287323,0.9549604058265686,0.5824148654937744,1.573986291885376,0.9166271686553955,0.5824148654937744,0.9166271686553955,0.8080272078514099,0.9386687874794006
19,0.6875134110450745,1.249999968422344e-05,0.5309252142906189,0.9580827355384827,0.6685070395469666,1.5291998386383057,0.9324488639831543,0.6685070395469666,0.9324488639831543,0.8140761256217957,0.9345051050186157
20,0.7097055912017822,1.249999968422344e-05,0.5151822566986084,0.9502809047698975,0.7075667977333069,1.5704071521759033,0.9329432845115662,0.7075667977333069,0.9329432845115662,0.817977249622345,0.937438428401947
21,0.7900820374488831,6.24999984211172e-06,0.5019518136978149,0.9584386348724365,0.684246301651001,1.51670241355896,0.9169362187385559,0.684246301651001,0.9169362187385559,0.8238303661346436,0.9418920278549194
22,0.7022798657417297,6.24999984211172e-06,0.49321749806404114,0.9508147835731506,0.6837106943130493,1.5116312503814697,0.9178838729858398,0.6837106943130493,0.9178838729858398,0.8288421034812927,0.94378262758255
