epoch,categorical_accuracy,learning_rate,loss,top_3_categorical_accuracy,val_categorical_accuracy,val_loss,val_top_3_categorical_accuracy
0,0.45256805419921875,9.999999747378752e-05,2.971320390701294,0.6596669554710388,0.4113841950893402,2.374659538269043,0.5461980700492859
1,0.6551411747932434,9.999999747378752e-05,2.1967926025390625,0.810118556022644,0.6159329414367676,1.527070164680481,0.7666096687316895
2,0.6944941878318787,9.999999747378752e-05,1.9520925283432007,0.8601733446121216,0.6661173105239868,1.3064606189727783,0.8565954566001892
3,0.7542396783828735,9.999999747378752e-05,1.6750370264053345,0.8806992173194885,0.8428751230239868,1.227236270904541,0.8993222117424011
4,0.7505429983139038,9.999999747378752e-05,1.5393542051315308,0.8939247727394104,0.7447312474250793,1.1094683408737183,0.9132279753684998
5,0.7608969211578369,9.999999747378752e-05,1.3871855735778809,0.9204809665679932,0.632290244102478,1.2503641843795776,0.8624667525291443
6,0.726559042930603,9.999999747378752e-05,1.666664481163025,0.8984465003013611,0.7398281693458557,1.0823622941970825,0.889804482460022
7,0.767307460308075,9.999999747378752e-05,1.5103263854980469,0.899016797542572,0.7266846299171448,1.3736871480941772,0.902391791343689
8,0.8358334898948669,9.999999747378752e-05,1.1483664512634277,0.9447925090789795,0.4100863039493561,1.97200608253479,0.7059599161148071
9,0.7544782757759094,9.999999747378752e-05,1.5549951791763306,0.8836597800254822,0.7024989128112793,1.294729471206665,0.8613131046295166
10,0.8206989765167236,4.999999873689376e-05,1.1764174699783325,0.9390169382095337,0.6724212765693665,1.2676842212677002,0.8633938431739807
11,0.8619569540023804,4.999999873689376e-05,1.014875054359436,0.9461959600448608,0.901382327079773,0.8507212400436401,0.9257946610450745
12,0.8889338374137878,4.999999873689376e-05,0.7763186693191528,0.9635913372039795,0.7993654608726501,0.7987002730369568,0.9355596303939819
13,0.8664423227310181,4.999999873689376e-05,0.6961498856544495,0.9588956832885742,0.7813394665718079,0.9496357440948486,0.9280402064323425
14,0.9020016193389893,4.999999873689376e-05,0.5880769491195679,0.9746490120887756,0.815248966217041,0.7342706918716431,0.9361570477485657
15,0.9026730060577393,4.999999873689376e-05,0.5895633101463318,0.9728168845176697,0.8125296235084534,0.6937344074249268,0.943449854850769
16,0.8918337225914001,4.999999873689376e-05,0.6079903244972229,0.974220335483551,0.8861374855041504,0.7379070520401001,0.937969982624054
17,0.9104505777359009,4.999999873689376e-05,0.5560113191604614,0.9734275937080383,0.808594822883606,0.7993037104606628,0.9289260506629944
18,0.8955789804458618,4.999999873689376e-05,0.4930666983127594,0.9752193093299866,0.9112502932548523,0.6892659068107605,0.938031792640686
19,0.9066244959831238,4.999999873689376e-05,0.4855745732784271,0.9795145988464355,0.9250736236572266,0.6706908941268921,0.9397416710853577
20,0.9047195315361023,4.999999873689376e-05,0.5065013766288757,0.9786854386329651,0.9269071221351624,0.6690768003463745,0.9439648985862732
21,0.9124687910079956,4.999999873689376e-05,0.44189566373825073,0.9842870831489563,0.8192662000656128,0.6959760785102844,0.9453451633453369
22,0.9050673842430115,4.999999873689376e-05,0.4506518542766571,0.9777349829673767,0.8257967233657837,0.7125057578086853,0.9510722756385803
23,0.9035021662712097,4.999999873689376e-05,0.4198608100414276,0.9856460690498352,0.8132712841033936,0.8008426427841187,0.9416987895965576
24,0.9227539896965027,2.499999936844688e-05,0.322838693857193,0.9893224835395813,0.9239611625671387,0.6729804277420044,0.9463546276092529
25,0.9234738945960999,2.499999936844688e-05,0.30418848991394043,0.9897390604019165,0.9260212779045105,0.6682119369506836,0.9499804377555847
26,0.9299127459526062,2.499999936844688e-05,0.29574042558670044,0.9904670715332031,0.9287200570106506,0.6794286966323853,0.9502482414245605
27,0.9193202257156372,2.499999936844688e-05,0.34869644045829773,0.989140510559082,0.9242702126502991,0.6862901449203491,0.9502482414245605
28,0.923943042755127,2.499999936844688e-05,0.28066733479499817,0.9901961088180542,0.9303269386291504,0.6563693284988403,0.9524319767951965
29,0.9287964701652527,2.499999936844688e-05,0.29463309049606323,0.9895692467689514,0.8259203433990479,0.6782828569412231,0.9508869051933289
30,0.9300583600997925,2.499999936844688e-05,0.2761932611465454,0.9888371825218201,0.903627872467041,0.7321130633354187,0.952843964099884
31,0.9302080273628235,2.499999936844688e-05,0.2960045039653778,0.9913730621337891,0.9267423152923584,0.6800330281257629,0.949609637260437
32,0.9317166209220886,1.249999968422344e-05,0.2500826120376587,0.9911344647407532,0.9340145587921143,0.6880838871002197,0.9518963098526001
33,0.9309319853782654,1.249999968422344e-05,0.23755984008312225,0.9920808672904968,0.8339548110961914,0.6915512681007385,0.9523083567619324
34,0.916772186756134,1.249999968422344e-05,0.2258361428976059,0.9924569725990295,0.9296265244483948,0.6779640913009644,0.9515048861503601
35,0.9433202743530273,6.24999984211172e-06,0.21930329501628876,0.9925904870033264,0.8353144526481628,0.6798022389411926,0.9522465467453003
36,0.9545518755912781,6.24999984211172e-06,0.21342867612838745,0.9927886724472046,0.8317092657089233,0.6962817907333374,0.952843964099884
37,0.8950410485267639,6.24999984211172e-06,0.21195799112319946,0.9929261803627014,0.835438072681427,0.6815195679664612,0.952843964099884
38,0.9361534118652344,3.12499992105586e-06,0.20848488807678223,0.9929584860801697,0.8358089327812195,0.6847327947616577,0.9529263973236084
39,0.9363354444503784,3.12499992105586e-06,0.20572558045387268,0.9930030107498169,0.9363424777984619,0.6830940246582031,0.9529263973236084
