epoch,categorical_accuracy,learning_rate,loss,top_3_categorical_accuracy,val_categorical_accuracy,val_loss,val_top_3_categorical_accuracy,val_w_categorical_accuracy,val_w_top_3_categorical_accuracy,w_categorical_accuracy,w_top_3_categorical_accuracy
0,0.6718328595161438,9.999999747378752e-05,2.7931740283966064,0.77460777759552,0.7418264746665955,1.6891487836837769,0.8104076981544495,0.7418264746665955,0.8104076981544495,0.4648803174495697,0.5899608135223389
1,0.781289279460907,9.999999747378752e-05,1.662323236465454,0.8982645273208618,0.798191249370575,1.3004390001296997,0.858820378780365,0.798191249370575,0.858820378780365,0.6576133966445923,0.7787461876869202
2,0.8073642253875732,9.999999747378752e-05,1.2545543909072876,0.9202706813812256,0.716239869594574,1.106211543083191,0.8784326910972595,0.716239869594574,0.8784326910972595,0.7309702038764954,0.8464070558547974
3,0.8073116540908813,9.999999747378752e-05,1.009844183921814,0.9320523142814636,0.8413712382316589,1.049221158027649,0.8830885291099548,0.8413712382316589,0.8830885291099548,0.7568439245223999,0.8949694037437439
4,0.801726222038269,9.999999747378752e-05,0.8642167448997498,0.9374598264694214,0.7546404004096985,0.8908307552337646,0.8968294858932495,0.7546404004096985,0.8968294858932495,0.7820810675621033,0.9122523665428162
5,0.8353319764137268,9.999999747378752e-05,0.7796538472175598,0.9455003142356873,0.5933746695518494,1.0968233346939087,0.9006819128990173,0.5933746695518494,0.9006819128990173,0.793526828289032,0.9271246194839478
6,0.8059446215629578,9.999999747378752e-05,0.6849204301834106,0.9507662057876587,0.7201334834098816,0.964358389377594,0.9030304551124573,0.7201334834098816,0.9030304551124573,0.7998040318489075,0.9398618340492249
7,0.8137545585632324,9.999999747378752e-05,0.6281776428222656,0.9524325728416443,0.6915802955627441,1.0613126754760742,0.8917204141616821,0.6915802955627441,0.8917204141616821,0.8155420422554016,0.9427273273468018
8,0.868723452091217,9.999999747378752e-06,0.5279632210731506,0.9597409963607788,0.8365917205810547,0.7929714918136597,0.9107970595359802,0.8365917205810547,0.9107970595359802,0.8315643668174744,0.9586732387542725
9,0.8979045152664185,9.999999747378752e-06,0.4920895993709564,0.9634497761726379,0.8383428454399109,0.800687849521637,0.9132692217826843,0.8383428454399109,0.9132692217826843,0.8339166045188904,0.96540766954422
10,0.8828468322753906,9.999999747378752e-06,0.4800209403038025,0.9647076725959778,0.8383016586303711,0.8325185179710388,0.9151644706726074,0.8383016586303711,0.9151644706726074,0.8383731842041016,0.9652078747749329
11,0.8590691685676575,9.999999747378752e-06,0.4717390239238739,0.9656015038490295,0.7401784062385559,0.8121963739395142,0.915370523929596,0.7401784062385559,0.915370523929596,0.8375507593154907,0.9669954776763916
12,0.8076878190040588,9.999999974752427e-07,0.4595775604248047,0.9660908579826355,0.7408788204193115,0.7992760539054871,0.9175542593002319,0.7408788204193115,0.9175542593002319,0.8424098491668701,0.9666925668716431
13,0.8120113611221313,9.999999974752427e-07,0.4577557146549225,0.9671100974082947,0.7410024404525757,0.7942851185798645,0.9176366329193115,0.7410024404525757,0.9176366329193115,0.8443174958229065,0.967630922794342
