epoch,categorical_accuracy,learning_rate,loss,top_3_categorical_accuracy,val_categorical_accuracy,val_loss,val_top_3_categorical_accuracy,val_w_categorical_accuracy,val_w_top_3_categorical_accuracy,w_categorical_accuracy,w_top_3_categorical_accuracy
0,0.39714619517326355,9.999999747378752e-05,3.3972818851470947,0.5827121734619141,0.5273067951202393,2.856520891189575,0.6138110160827637,0.5273067951202393,0.6138110160827637,0.15211346745491028,0.2787594497203827
1,0.4437631666660309,9.999999747378752e-05,2.830526113510132,0.7228421568870544,0.3510228395462036,2.3018877506256104,0.8111493587493896,0.3510228395462036,0.8111493587493896,0.24303138256072998,0.43246692419052124
2,0.6062794923782349,9.999999747378752e-05,2.514657735824585,0.7858393788337708,0.3039698302745819,2.1735479831695557,0.6726066470146179,0.3039698302745819,0.6726066470146179,0.296095073223114,0.5091493129730225
3,0.5275693535804749,9.999999747378752e-05,2.31618070602417,0.8196150660514832,0.3498897850513458,1.9367653131484985,0.8143013119697571,0.3498897850513458,0.8143013119697571,0.3342094421386719,0.5429022312164307
4,0.510347843170166,9.999999747378752e-05,2.1580100059509277,0.8230488300323486,0.3886817395687103,1.7701032161712646,0.7615829706192017,0.3886817395687103,0.7615829706192017,0.3758769631385803,0.584104597568512
5,0.5298019647598267,9.999999747378752e-05,2.0561838150024414,0.8283916115760803,0.7196184396743774,1.6513667106628418,0.8764755725860596,0.7196184396743774,0.8764755725860596,0.39781099557876587,0.616455078125
6,0.6105990409851074,9.999999747378752e-05,1.939239740371704,0.8349558711051941,0.7991182804107666,1.5749316215515137,0.8770318031311035,0.7991182804107666,0.8770318031311035,0.4391809403896332,0.642541766166687
7,0.6534141898155212,9.999999747378752e-05,1.7946439981460571,0.8492289185523987,0.6343915462493896,1.4468615055084229,0.8873529434204102,0.6343915462493896,0.8873529434204102,0.46583399176597595,0.6822468638420105
8,0.663068413734436,9.999999747378752e-05,1.7349828481674194,0.8489296436309814,0.644486129283905,1.3739274740219116,0.8583877682685852,0.644486129283905,0.8583877682685852,0.48245081305503845,0.6947022676467896
9,0.6788339018821716,9.999999747378752e-05,1.611592173576355,0.852428138256073,0.6990379095077515,1.266862392425537,0.881646454334259,0.6990379095077515,0.881646454334259,0.524736225605011,0.7297912240028381
10,0.6798935532569885,9.999999747378752e-05,1.5852198600769043,0.8675424456596375,0.6215158104896545,1.3573561906814575,0.8581199645996094,0.6215158104896545,0.8581199645996094,0.5130927562713623,0.7325624227523804
11,0.6785022616386414,9.999999747378752e-05,1.4746956825256348,0.8660257458686829,0.7201541066169739,1.6194514036178589,0.8228920102119446,0.7201541066169739,0.8228920102119446,0.5431284308433533,0.7544092535972595
12,0.7072870135307312,9.999999747378752e-05,1.438410758972168,0.8764686584472656,0.7002739906311035,1.1511155366897583,0.8932654857635498,0.7002739906311035,0.8932654857635498,0.5506881475448608,0.7722277045249939
13,0.7285853624343872,9.999999747378752e-05,1.348483681678772,0.8858155012130737,0.7779402732849121,1.1460390090942383,0.9082425236701965,0.7779402732849121,0.9082425236701965,0.581560492515564,0.7859187722206116
14,0.7327835559844971,9.999999747378752e-05,1.3721476793289185,0.8734393119812012,0.8088420033454895,1.1383624076843262,0.9023711681365967,0.8088420033454895,0.9023711681365967,0.5654694437980652,0.7877110242843628
15,0.7367309927940369,9.999999747378752e-05,1.2530821561813354,0.8702320456504822,0.8441317677497864,1.0147199630737305,0.9085927605628967,0.8441317677497864,0.9085927605628967,0.6032342314720154,0.8225647211074829
16,0.7749151587486267,9.999999747378752e-05,1.1940828561782837,0.8997164964675903,0.8599122166633606,1.0278093814849854,0.9048433303833008,0.8599122166633606,0.9048433303833008,0.6212587356567383,0.8244268298149109
17,0.7840598225593567,9.999999747378752e-05,1.1761595010757446,0.9009945392608643,0.8596855998039246,1.0120668411254883,0.9052553772926331,0.8596855998039246,0.9052553772926331,0.6357067823410034,0.8361761569976807
18,0.7872832417488098,9.999999747378752e-05,1.1251033544540405,0.9092170000076294,0.7045178413391113,1.1323115825653076,0.911456286907196,0.7045178413391113,0.911456286907196,0.6414569020271301,0.8503423929214478
19,0.780063807964325,9.999999747378752e-05,1.081382393836975,0.9093140959739685,0.7771368622779846,0.9685095548629761,0.9219834804534912,0.7771368622779846,0.9219834804534912,0.6531736254692078,0.8517961502075195
20,0.7971073985099792,9.999999747378752e-05,1.0957461595535278,0.9104546308517456,0.8787828683853149,0.8694111108779907,0.9164623618125916,0.8787828683853149,0.9164623618125916,0.6491882801055908,0.8514754176139832
21,0.8142479658126831,9.999999747378752e-05,0.9988126158714294,0.9232312440872192,0.7782905101776123,0.9796649813652039,0.9233019351959229,0.7782905101776123,0.9233019351959229,0.6736143827438354,0.8713862895965576
22,0.7988181710243225,9.999999747378752e-05,1.0361595153808594,0.9194698333740234,0.8659690022468567,0.9804577231407166,0.9240229725837708,0.8659690022468567,0.9240229725837708,0.6609748601913452,0.8547675609588623
