epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8162409067153931,9.999999747378752e-05,0.10674425959587097,0.9143094420433044,0.052834633737802505
1,0.8520375490188599,9.999999747378752e-05,0.05249246954917908,0.9212367534637451,0.044132087379693985
2,0.853726327419281,9.999999747378752e-05,0.05059998854994774,0.9239744544029236,0.04146171361207962
3,0.8548061847686768,9.999999747378752e-05,0.049823205918073654,0.9038047790527344,0.04153876006603241
4,0.855612576007843,9.999999747378752e-05,0.04930128529667854,0.9262835383415222,0.038853973150253296
5,0.8559882640838623,9.999999747378752e-05,0.04892783239483833,0.9267559051513672,0.04061742499470711
6,0.8564105033874512,9.999999747378752e-05,0.04867465794086456,0.9071109890937805,0.044265247881412506
7,0.8564058542251587,9.999999747378752e-05,0.04853618144989014,0.9256100654602051,0.041439712047576904
8,0.8566870093345642,9.999999747378752e-05,0.04839898273348808,0.9275780916213989,0.04199780896306038
9,0.8571053147315979,9.999999747378752e-05,0.048299286514520645,0.9280328750610352,0.03979530557990074
10,0.8569837212562561,9.999999747378752e-05,0.04825965315103531,0.9287500977516174,0.03870778903365135
11,0.8570147156715393,9.999999747378752e-05,0.048135530203580856,0.9284089803695679,0.03753063082695007
12,0.8567296266555786,9.999999747378752e-05,0.04813346266746521,0.9272894263267517,0.03883681446313858
13,0.8572091460227966,9.999999747378752e-05,0.048023734241724014,0.9277179837226868,0.038990568369627
14,0.8567985892295837,9.999999747378752e-05,0.048230428248643875,0.9076882600784302,0.0429408960044384
15,0.8572742342948914,9.999999747378752e-05,0.04791254177689552,0.9291961789131165,0.03836379200220108
16,0.8575035333633423,9.999999747378752e-05,0.04782608896493912,0.9282515645027161,0.038327407091856
17,0.8575600385665894,9.999999747378752e-05,0.04769172519445419,0.9303770065307617,0.03914826363325119
18,0.857721209526062,9.999999747378752e-05,0.04771643877029419,0.9257937669754028,0.041125938296318054
