epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8054205775260925,9.999999747378752e-05,0.12668780982494354,0.8897227048873901,0.06002714857459068
1,0.8517857789993286,9.999999747378752e-05,0.05450180172920227,0.9231435060501099,0.04626672342419624
2,0.8542081713676453,9.999999747378752e-05,0.05133792757987976,0.9244117736816406,0.0430305190384388
3,0.8552547097206116,9.999999747378752e-05,0.05019783228635788,0.9259687066078186,0.04172219708561897
4,0.8557806611061096,9.999999747378752e-05,0.049659594893455505,0.9156739115715027,0.04037969931960106
5,0.8561943769454956,9.999999747378752e-05,0.04936784505844116,0.9253039360046387,0.041522134095430374
6,0.856493353843689,9.999999747378752e-05,0.04891502484679222,0.9072684049606323,0.04501985013484955
7,0.8565367460250854,9.999999747378752e-05,0.048864707350730896,0.927551805973053,0.04135585203766823
8,0.8568288087844849,9.999999747378752e-05,0.04858937859535217,0.928260326385498,0.04164983704686165
9,0.8570937514305115,9.999999747378752e-05,0.04844046011567116,0.9287850856781006,0.040382008999586105
10,0.8566815853118896,9.999999747378752e-05,0.04872103035449982,0.9281553626060486,0.03959747776389122
11,0.8569403290748596,9.999999747378752e-05,0.048326972872018814,0.9269395470619202,0.04015485942363739
12,0.857173502445221,9.999999747378752e-05,0.04822009429335594,0.9282078146934509,0.03873612359166145
13,0.8572680354118347,9.999999747378752e-05,0.0482451394200325,0.9272369742393494,0.040151197463274
14,0.8574926853179932,9.999999747378752e-05,0.0480489581823349,0.9093413949012756,0.042643580585718155
15,0.8574640154838562,9.999999747378752e-05,0.048118624836206436,0.9295110702514648,0.03823484480381012
16,0.8574190735816956,9.999999747378752e-05,0.048166386783123016,0.9294848442077637,0.03890972584486008
17,0.8578319549560547,9.999999747378752e-05,0.047869931906461716,0.9289162755012512,0.038857683539390564
18,0.8576677441596985,9.999999747378752e-05,0.04789571464061737,0.9291349649429321,0.038633961230516434
19,0.8579055666923523,9.999999747378752e-05,0.04771599546074867,0.9298696517944336,0.0404093973338604
20,0.857883870601654,9.999999747378752e-05,0.047707874327898026,0.9298521876335144,0.03939075022935867
21,0.8575879335403442,9.999999747378752e-05,0.04776310920715332,0.9297996759414673,0.03938591852784157
22,0.8580116629600525,9.999999747378752e-05,0.04760316014289856,0.9276917576789856,0.040510132908821106
